timestamp,replicas
2026-02-03T19:14:06Z,4
2026-02-03T19:14:21Z,4
2026-02-03T19:14:36Z,4
2026-02-03T19:14:52Z,2
2026-02-03T19:15:54Z,1
2026-02-03T19:16:09Z,1
2026-02-03T19:16:24Z,1
2026-02-03T19:16:39Z,1
2026-02-03T19:16:54Z,1
2026-02-03T19:17:09Z,1
2026-02-03T19:17:24Z,1
2026-02-03T19:17:39Z,1
2026-02-03T19:17:55Z,1
2026-02-03T19:18:10Z,1
2026-02-03T19:18:25Z,1
2026-02-03T19:18:40Z,1
2026-02-03T19:18:55Z,1
2026-02-03T19:19:10Z,1
2026-02-03T19:19:25Z,1
2026-02-03T19:19:40Z,1
2026-02-03T19:19:55Z,1
2026-02-03T19:20:10Z,1
2026-02-03T19:20:26Z,1
2026-02-03T19:20:41Z,1
2026-02-03T19:20:56Z,1
2026-02-03T19:21:11Z,1
2026-02-03T19:21:26Z,1
2026-02-03T19:21:41Z,1
2026-02-03T19:21:56Z,1
2026-02-03T19:22:11Z,1
